Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
585,,,The assessment has been attached and can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation plan,73252
586,https://www.stwater.co.uk/content/dam/stw/about_us/documents/stw-climate-change-adaptation-report-2021.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Severn Trent Adaptation Report covers all of Severn Trent's operational area - 9 counties across the heart of the UK.",The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework","Other, please specify: Severn Trent Water",Adaptation goal(s) and adaptation plan,13506
587,https://smart.comune.genova.it/content/secap;  http://www.genovameravigliosa.com/en/genova-lighthouse-city;  https://www.genovameravigliosa.com/sites/default/files/archivio/download/ActionPlan_Eng.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,36262
588,,Same - covers entire jurisdiction and nothing else,"Other, please specify: Plan climat et PCD",,,Adaptation goal(s) and adaptation plan,929561
589,Plan_Adaptacion_BA.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,826108
590,,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Assesment includes both the İzmir Province as a whole and our district as well.","Unable to provide an attachment and/or direct link to the assessment, please specify why",Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant; Regional/ state/ provincial government,Adaptation goal(s),841980
591,PLAC Comodoro Rivadavia 2021.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Dedicated team within jurisdiction; Other, please specify: Asociación Civil Red Argentina de Municipios frente al Cambio Climático",Adaptation goal(s) and adaptation plan,862705
592,Growing-Stronger-Toward-a-Climate-Ready-Philadelphia.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework","Other, please specify: Led by Office of Sustainability and a Consultant, included multiple relevant City Departments",Adaptation goal(s) and adaptation plan,31181
593,LSFRA 2012.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Study also covers some relevant areas outside administrative boundary in Leicestershire.",The assessment has been attached,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,54529
594,,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",The assessment has been attached,,,Incomplete report,848137
595,umhverfisskyrsla_29sept-2021-b3.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,54459
596,https://bloomington.in.gov/sites/default/files/2020-08/Bloomington%20Climate%20Risk%20and%20Vulnerability%20Assessment%20May%202020.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems","Consultant; Other, please specify: Other: Done in collaboration with the Indiana Environmental Resilience Institute at Indiana University (Institutional expertise); Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,54109
597,Salem_MA Hazard Mitigation Plan Update - Adopted 2020-12-03.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,58871
598,https://ready.nola.gov/NOLAReady/media/Assets/Hazard%20Mitigation%20Plan/2020-City-of-New-Orleans-Hazard-Mitigation-Plan.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,13067
599,https://protecaocivil.sintra.pt/quem-somos/gabinete-tecnico-florestal/planos-municipais,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers water security; Other, please specify:  Food and Agriculture, Public health and Land use planning",Consultant,Adaptation goal(s) and adaptation plan,826396
600,https://www.melbourne.vic.gov.au/SiteCollectionDocuments/climate-change-adaptation-strategy.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31109
601,https://livegreenhoward.com/wp-content/uploads/2023/06/HoCo-Climate-Forward-2023.pdf  (see p. 11-26),Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners,Question not applicable,Adaptation goal(s) and adaptation plan,852480
602,"Análise_Vulnerabilidade_Deslizamento_de_Terra.pdf, Análise_Vulnerabilidade_Inundação_Alagamento_Solapamento.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s),54647
603,https://atlasvulnerabilidad.inecc.gob.mx/page/index.html#zoom=11&lat=20.6048&lon=-87.4067&layers=1,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: ES UN ATLAS NACIONAL QUE VIENE DIVIDIDO POR ESTADO Y POR MUNICIPIO, POR LO QUE SE SELECCIONO EL MUNICIPIO DE SOLIDARIDAD Y SE DESPRENDE LO QUE CORRESPONDE AL MUNICIPIO",The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,National/ central government,Incomplete report,57877
604,DRM Operational Plan 2016.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s),60640
605,resilient-analytics-report-impacts-of-climate-change-boulder-county-colorado.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Boulder County's Impacts of Climate Change Report is a multi-jurisdictional plan that geographically covers everything within Boulder County’s jurisdictional boundaries, which includes the Town of Superior.",The assessment has been attached,"Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems",Consultant,Adaptation goal(s) and adaptation plan,862932
606,http://www.naga.org.au/uploads/9/0/5/3/9053945/adaptation_in_the_north_volume_6.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate risk and adaptation report covers nine northern Melbourne metropolitan  councils: Banyule, Darebin, Hume, Manningham, Melbourne, Moreland, Nillumbik, Whittlesea and  Yarra",The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework","Other, please specify: 'Adaptation in the North' was authored by the Northern Alliance for Greenhouse Action (NAGA), an alliance of nine northern Melbourne metropolitan  councils working to enable climate action across the municipalities.",Adaptation goal(s) and adaptation plan,54144
607,https://www.orc.govt.nz/media/9653/tt-otago-climate-change-risk-assessment-2021.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This covers the wider Otago region, which Dunedin is part of, and also includes specific breakdown of risks to Dunedin",The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation plan,54268
608,https://drive.google.com/file/d/1dUFoRaVf9YPG13wF0zIsNPsgEMelKbDk/view?usp=sharing,Same - covers entire jurisdiction and nothing else,"Unable to provide an attachment and/or direct link to the assessment, please specify why",,,Incomplete report,44077
609,https://moten.lund.se/welcome-sv/namnder-styrelser/kommunstyrelsen/kommunstyrelsen/agenda/risk-och-sarbarhetsanalys-for-lunds-kommun-2019-2022pdf-30003?downloadMode=open,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54519
610,Iskandar Puteri Climate Action Plan 2030,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,895681
611,,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,Assessment considers nature; Assessment considers water security; Assessment includes consultation with partners,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,59151
612,https://jdih.langsakota.go.id/dih/view/2988c02a-57a2-4b7d-a68d-c0276627b93f,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature,Question not applicable,Adaptation plan,863206
613,DOCUMENTO DE CARACTERIZACION CLIMATICA DE LAGO AGRIO_V4.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",International organization,Adaptation goal(s) and adaptation plan,863470
614,PIAAC-VDL_Relatório FINAL Anexos - 20180228.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Abrange todo o território do Município",The assessment has been attached,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,"Other, please specify; Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,50674
615,/https://miami-dade-county-sea-level-rise-strategy-draft-mdc.hub.arcgis.com,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,73810
616,https://www.soderhamn.se/sidor/bo-bygga-miljo-och-trafik/samhallsutveckling-och-planering/oversiktlig-planering/oversiktsplan---2040.html,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",The assessment has been attached,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment includes sectors and/or urban systems,Question not applicable,Incomplete report,60238
617,PLAC Montecarlo 2020.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Dedicated team within jurisdiction; Other, please specify: Asociación Civil Red Argentina de Municipios frente al Cambio Climático",Adaptation goal(s) and adaptation plan,841269
618,RiskAssessmentAthens.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,31149
619,cap03_inudabilitat_urbana-20180227.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1499
620,https://helsingborg.maps.arcgis.com/apps/webappviewer/index.html?id=b80af94a21a545a8abdfafe86a7b5ee2,"Smaller - covers only part of the jurisdiction, please explain exclusions: the heat island analysis was conducted only for the central part of the city",The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,54518
621,Evaluación de Riesgos Climáticos IDOM 2020_CDP.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation goal(s) and adaptation plan,31155
622,Muar_District_GHGI_Report_v1.0.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,841491
623,,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s),54034
624,https://munibelen-my.sharepoint.com/:w:/g/personal/ambiental_belen_go_cr/ESO86JFJdChGi8hstwAo_SABYUVf3pvUr-K65lDyn2n12w?e=wI37Tw,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,58595
625,https://www.hsy.fi/globalassets/ilmanlaatu-ja-ilmasto/tiedostot/hsy-ilmastolahtoinen-sosiaalinen-haavoittuvuus_2016.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The report deals with social vulnerability for heath waves and floods in the Helsinki Metropolitan area, including Vantaa.",The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,"Other, please specify: Cardiff University and HSY",Adaptation goal(s) and adaptation plan,60185
626,NorAdapt - Klimatilpasning i nasjonalparker og naturområder.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: The Øhre bay in Færder was part of a larger, external assessment of climate adaptation in Norwegian national parks",The assessment has been attached,Assessment considers nature,"Other, please specify: Researchers from NORADAPT/Vestlandsforsking",Adaptation goal(s) and adaptation plan,867237
627,http://www.pmf.sc.gov.br/arquivos/arquivos/pdf/17_09_2014_12.18.46.47d9f3cf658ee472868d5324eb4f2c6d.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations,"Other, please specify: Equipe técnica da secretaria municipal de habitação e saneamento ambiental e equipe técnica da Fundação Israel Pinheiro",Adaptation goal(s),50384
628,"31.08.21 Detailed assessment of climate change risk on health and wellbeing_Mornington Peninsula Shire.pdf, FINAL AVA_Part1_Findings_Report.pdf, FINAL Case study Overview AVA 22122021.pdf, FINAL Mornington_Peninsula_Heatwaves_Profile.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation goal(s),73722
629,https://surdurulebilirulasim.istanbul/wp-content/uploads/2022/12/SUMP-REPORT-rs.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31163
630,"Climate Risk & Vulnerability Assessment Report - DRAFT.pdf, hri-readiness-assessment-20200124 (1).pdf, Readiness assessment_ Results_2023.pdf",Same - covers entire jurisdiction and nothing else,"Unable to provide an attachment and/or direct link to the assessment, please specify why: The attachments are a draft report and results that are part of the City's climate risk and vulnerability assessment.  The ERI Readiness assessment is a primer to the more formal assessment. The assessment will be finalized in mid August.","Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework","Consultant; Dedicated team within jurisdiction; Other, please specify: The assessment was in collaboration with the City of South Bend and Indiana University's Environmental Resilience Institute (ERI).",Incomplete report,63562
631,https://sfclimatehealth.org/wp-content/uploads/2018/12/FloodVulnerabilityReport_v5.pdf.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31182
632,https://www.countyplanning.us/projects/climate-action-plan/vulnerability-assessment/,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,73666
633,Wellington Region climate change Extremes and Implications.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the entire GreaterWellington Region",The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: water security, nature and transition risks",Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,43937
634,https://cloud.cm-sintra.pt/index.php/s/lRpm4fy4ulM6URG,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Other, please specify: Public Health, Spatial planning, Tourism, Infrastructures",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,826396
635,OVERVIEW of SEA-LEVEL RISE VULNERABILITY.docx,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,841960
636,Petaling Jaya Climate Action Plan 2030.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54361
637,"Klimaschutzbericht-Basel-Stadt-2019 (1).pdf, Klimaschutzbericht-Basel-Stadt-2019 (2).pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Regional/ state/ provincial government,Adaptation goal(s),31151
638,https://pliki.um.warszawa.pl/index.php/s/pMYfmDfBeRB2xQn,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework","Other, please specify: NGO and City of Warsaw",Adaptation plan,31185
639,http://www.melbourne.vic.gov.au/about-council/committees-meetings/meeting-archive/MeetingAgendaItemAttachments/773/13872/AGENDA%20ITEM%206.6%20UPDATED%2015%20APRIL%202017.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31109
640,https://www.unley.sa.gov.au/files/assets/public/environment-hub/climate-change-adaptation-governance-assessment-report-for-unley-29-06-21.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,840075
641,City of La Crosse Climate Change Vulnerability Assessment revised 112822.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant,Adaptation plan,73295
642,EVALUACIÓN DE LA VULNERABILIDAD CLIMÁTICA.docx,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,929500
643,https://www-static.bouldercolorado.gov/docs/Vulnerabilities_Assessment_FINAL-1-202006041608.pdf?_ga=2.114581188.2139300373.1594668622-598552937.1574204028,"Smaller - covers only part of the jurisdiction, please explain exclusions: Chautauqua National Historic Landmark District (NHL)",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,54104
644,https://geoportale.comune.milano.it/download/area_download/SIT/HeatData/avgLST_Milan_UrbanAtlas.zip,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31173
645,paloalto_separateannex_march2017.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54119
646,https://drive.google.com/file/d/1-FWolehxJsBiqWLA_1QLINiTx_7AYWHX/view?usp=sharing,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Incluye la provincia de Granma, donde se emplaza el municipio Manzanillo",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s),900978
647,https://www.sofia.bg/documents/20121/675793/%D0%A1%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F+%D0%B7%D0%B0+%D0%B0%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F+%D0%BA%D1%8A%D0%BC+%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D1%82%D0%B5+%D0%BF%D1%80%D0%BE%D0%BC%D0%B5%D0%BD%D0%B8+%D0%B7%D0%B0+%D0%A1%D0%9E.pdf/eee054ce-c2be-4fb6-aef2-9523ca7ebbdc,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,43917
648,https://pitkincounty.com/1477/Hazard-Mitigation-Plan,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Pitkin County HMP includes neighboring jurisdictions: Town of Snowmass Village and Town of Basalt",The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,52897
